gene,count,length
ENST00000276072,1460,5682
ENST00000398637,834,1464
ENST00000374667,372,1248
ENST00000457408,130,684
ENST00000359073,342,1059
ENST00000360051,393,1086
ENST00000433477,339,966
ENST00000360057,3005,732
ENST00000433473,273,918
ENST00000374672,276,1440
ENST00000374675,182,1410
ENST00000359059,395,999
ENST00000374677,178,1410
ENST00000359060,145,462
ENST00000359062,3973,3426
ENST00000457415,453,1509
ENST00000457416,1424,2469
ENST00000433467,1536,2991
ENST00000360046,176,963
ENST00000360049,2447,3510
ENST00000360047,4341,2022
ENST00000457410,259,1491
ENST00000335119,311,1767
ENST00000335117,610,1392
ENST00000291691,308,969
ENST00000311148,125,1266
ENST00000614711,511,2034
ENST00000374720,1118,1974
ENST00000614712,1096,1695
ENST00000276054,355,1602
ENST00000614713,192,369
ENST00000335110,3840,9669
ENST00000276055,272,1461
ENST00000374723,1118,1959
ENST00000276052,241,1713
ENST00000374724,1352,1965
ENST00000311141,220,705
ENST00000374721,700,810
ENST00000614710,149,705
ENST00000374728,705,666
ENST00000374726,384,414
ENST00000252085,2384,2799
ENST00000252087,613,2835
ENST00000565216,178,396
ENST00000349752,2133,1659
ENST00000555899,947,1389
ENST00000541260,142,1191
ENST00000541264,622,1668
ENST00000614722,636,942
ENST00000579855,332,1458
ENST00000580844,315,1140
ENST00000335123,136,333
ENST00000276066,173,666
ENST00000374734,568,711
ENST00000374732,498,1566
ENST00000311131,398,1134
ENST00000374733,488,372
ENST00000335125,304,699
ENST00000276062,99,492
ENST00000252071,409,633
ENST00000374736,2031,6786
ENST00000374737,462,1200
ENST00000580840,205,681
ENST00000565224,273,1824
ENST00000291688,1149,5943
ENST00000565223,122,339
ENST00000349767,377,987
ENST00000579849,208,681
ENST00000291670,616,1626
ENST00000579847,449,1428
ENST00000541231,56,297
ENST00000291672,324,1023
ENST00000590202,488,1623
ENST00000374741,96,444
ENST00000590201,156,507
ENST00000398712,176,1164
ENST00000374746,689,2121
ENST00000398714,251,945
ENST00000374749,770,2238
ENST00000311170,313,906
ENST00000349736,535,768
ENST00000590208,503,1968
ENST00000374747,672,1854
ENST00000398718,88,249
ENST00000311172,1784,2055
ENST00000374748,770,2238
ENST00000555872,726,420
ENST00000541240,662,2547
ENST00000374752,316,867
ENST00000614701,3046,6900
ENST00000590214,719,3492
ENST00000350721,1887,7935
ENST00000374751,772,2238
ENST00000590212,105,237
ENST00000580825,216,615
ENST00000311151,717,1719
ENST00000335102,910,2331
ENST00000398705,568,1374
ENST00000398706,876,5529
ENST00000555880,663,1737
ENST00000311160,2587,4338
ENST00000374759,970,3360
ENST00000311161,284,1086
ENST00000349748,693,2190
ENST00000555883,514,753
ENST00000590217,206,723
ENST00000565201,76,423
ENST00000325795,134,462
ENST00000638728,437,1140
ENST00000350790,383,630
ENST00000579827,84,462
ENST00000579828,256,960
ENST00000541210,440,564
ENST00000276014,1126,4188
ENST00000541211,175,504
ENST00000541212,232,672
ENST00000350796,856,1200
ENST00000311189,403,570
ENST00000359125,1538,2619
ENST00000335154,1106,3084
ENST00000541216,374,540
ENST00000350792,256,1074
ENST00000638727,305,1194
ENST00000590221,165,774
ENST00000359128,892,3198
ENST00000614754,597,2400
ENST00000311191,1308,2091
ENST00000638730,229,5268
ENST00000359130,510,999
ENST00000531885,258,186
ENST00000360110,547,2283
ENST00000600100,200,744
ENST00000360108,5400,6885
ENST00000638719,81,723
ENST00000580809,230,528
ENST00000541224,698,1641
ENST00000311177,185,753
ENST00000590235,184,285
ENST00000614767,109,762
ENST00000638712,115,777
ENST00000359114,151,642
ENST00000614762,91,1677
ENST00000638716,380,1644
ENST00000359117,485,732
ENST00000590230,230,804
ENST00000311180,269,1830
ENST00000311181,192,1248
ENST00000311183,300,900
ENST00000335174,82,477
ENST00000252032,1382,3534
ENST00000359120,1127,2190
ENST00000335171,136,459
ENST00000252034,866,2175
ENST00000252037,394,984
ENST00000555868,150,1056
ENST00000360105,721,1212
ENST00000638708,402,1209
ENST00000266671,313,1206
ENST00000266673,261,1011
ENST00000614739,488,1041
ENST00000266674,1457,2724
ENST00000349780,1669,5682
ENST00000359100,81,342
ENST00000590247,116,378
ENST00000350777,317,1554
ENST00000266679,410,1767
ENST00000638704,54,696
ENST00000335137,43,918
ENST00000638705,1222,1065
ENST00000350771,178,309
ENST00000359106,1897,7134
ENST00000335135,530,1329
ENST00000614731,119,300
ENST00000638702,401,1122
ENST00000374700,1364,4017
ENST00000350773,1309,5355
ENST00000374706,1682,864
ENST00000374704,1281,1026
ENST00000374707,420,936
ENST00000374708,1237,4953
ENST00000291633,636,1125
ENST00000600128,2685,8430
ENST00000291634,314,693
ENST00000555835,229,444
ENST00000555836,687,1893
ENST00000349777,240,477
ENST00000266682,1236,2193
ENST00000350763,2031,6606
ENST00000541204,297,342
ENST00000350766,1362,1461
ENST00000335148,207,777
ENST00000541206,109,387
ENST00000374710,724,1527
ENST00000335146,599,2208
ENST00000252050,1304,7554
ENST00000614750,180,444
ENST00000600118,136,669
ENST00000531895,510,1509
ENST00000555841,182,600
ENST00000374719,521,894
ENST00000600114,271,489
ENST00000555846,284,1323
ENST00000589272,207,618
ENST00000482593,372,954
ENST00000638767,742,2517
ENST00000638764,55,306
ENST00000266659,386,801
ENST00000614798,566,1014
ENST00000301738,217,705
ENST00000433616,588,3102
ENST00000301732,1457,5115
ENST00000638771,386,1503
ENST00000638772,1839,1158
ENST00000301730,218,918
ENST00000600147,149,465
ENST00000565299,286,1203
ENST00000589265,389,1311
ENST00000600144,831,1461
ENST00000589261,233,1413
ENST00000589262,261,1446
ENST00000266661,216,219
ENST00000638755,506,1161
ENST00000638759,5291,3723
ENST00000433608,479,1755
ENST00000433605,79,189
ENST00000227065,465,1449
ENST00000301744,295,1275
ENST00000589258,339,372
ENST00000301740,1532,8259
ENST00000600132,757,3441
ENST00000589256,124,174
ENST00000600175,298,117
ENST00000482571,260,1569
ENST00000614778,510,366
ENST00000482578,245,411
ENST00000638749,5418,1464
ENST00000614775,89,507
ENST00000589248,490,264
ENST00000325722,941,3150
ENST00000252029,219,1449
ENST00000600162,654,249
ENST00000589240,80,315
ENST00000565290,32,906
ENST00000168216,107,786
ENST00000482587,171,396
ENST00000266643,142,1041
ENST00000638737,321,1020
ENST00000266646,184,1053
ENST00000614785,457,2493
ENST00000614786,283,1713
ENST00000614793,3265,3753
ENST00000614794,331,876
ENST00000325719,303,945
ENST00000638741,6,384
ENST00000301765,285,1068
ENST00000252011,809,2112
ENST00000589235,252,507
ENST00000624103,302,939
ENST00000301764,640,3423
ENST00000301761,155,501
ENST00000252015,838,2394
ENST00000589238,415,300
ENST00000600194,591,2166
ENST00000565261,326,447
ENST00000541295,572,492
ENST00000541297,584,1968
ENST00000311104,165,1260
ENST00000311106,734,2262
ENST00000311101,497,990
ENST00000350710,393,426
ENST00000349716,1189,1407
ENST00000349714,740,819
ENST00000589228,333,1146
ENST00000301776,439,927
ENST00000349718,366,429
ENST00000325747,881,3828
ENST00000325748,342,942
ENST00000301773,327,1071
ENST00000600188,508,1362
ENST00000589222,4376,2787
ENST00000580887,102,534
ENST00000638797,219,6234
ENST00000301788,107,519
ENST00000301785,419,2244
ENST00000589210,766,2055
ENST00000349721,1999,4773
ENST00000565263,492,1482
ENST00000311127,1017,4146
ENST00000311128,557,1827
ENST00000541278,119,651
ENST00000311129,482,2004
ENST00000638788,46,369
ENST00000311122,195,597
ENST00000311124,524,1776
ENST00000638792,845,2070
ENST00000589209,96,279
ENST00000638794,3,846
ENST00000565232,1036,1734
ENST00000301790,337,840
ENST00000565250,240,981
ENST00000541284,1174,2142
ENST00000541285,272,162
ENST00000541286,918,3012
ENST00000311117,1457,5577
ENST00000580865,620,1011
ENST00000311111,81,213
ENST00000638778,425,582
ENST00000266604,156,390
ENST00000349703,888,3444
ENST00000638783,427,582
ENST00000580864,240,1197
ENST00000325752,411,1362
ENST00000624145,1106,2700
ENST00000541292,348,843
ENST00000168148,309,636
ENST00000482510,223,1053
ENST00000242607,380,822
ENST00000482515,108,234
ENST00000457543,295,1980
ENST00000457544,1551,2172
ENST00000457545,470,1035
ENST00000457542,938,4527
ENST00000506939,6705,2058
ENST00000624098,394,3636
ENST00000482525,532,483
ENST00000433566,653,3267
ENST00000531909,154,348
ENST00000506945,431,906
ENST00000433559,541,3363
ENST00000457563,1096,1635
ENST00000531901,3037,1938
ENST00000624075,1251,774
ENST00000506953,372,1338
ENST00000638698,399,1011
ENST00000482504,298,1161
ENST00000433541,124,528
ENST00000433542,608,2739
ENST00000457573,259,942
ENST00000301810,243,996
ENST00000433535,175,1011
ENST00000457584,330,1647
ENST00000482567,374,780
ENST00000433529,466,1161
ENST00000301825,446,1590
ENST00000433525,162,651
ENST00000301821,222,888
ENST00000457599,2595,6207
ENST00000589297,461,1020
ENST00000589296,801,195
ENST00000506908,53,237
ENST00000482533,165,354
ENST00000325805,1849,2826
ENST00000301838,122,627
ENST00000482536,388,942
ENST00000301831,3919,3828
ENST00000217652,125,516
ENST00000589288,1091,3906
ENST00000589289,173,357
ENST00000012443,465,1500
ENST00000589280,130,246
ENST00000203001,278,1494
ENST00000482541,144,432
ENST00000301843,664,1653
ENST00000590261,666,2685
ENST00000398774,3121,13548
ENST00000398776,627,2220
ENST00000359169,2639,5592
ENST00000359171,1387,5454
ENST00000359172,331,1452
ENST00000360151,277,1053
ENST00000359175,212,231
ENST00000555930,99,186
ENST00000360150,444,1134
ENST00000531964,99,501
ENST00000531965,315,537
ENST00000555932,306,249
ENST00000360156,690,1284
ENST00000531963,337,723
ENST00000531969,243,432
ENST00000555938,322,822
ENST00000531967,416,924
ENST00000398761,1378,1437
ENST00000398762,678,957
ENST00000541300,292,678
ENST00000398763,825,837
ENST00000359156,1288,3471
ENST00000541304,152,441
ENST00000541308,644,2688
ENST00000359161,679,2172
ENST00000359162,6304,1308
ENST00000360141,325,900
ENST00000531950,276,345
ENST00000360144,1365,2043
ENST00000555943,18,252
ENST00000360149,1324,1776
ENST00000555948,231,318
ENST00000590282,803,1320
ENST00000590281,176,648
ENST00000398793,559,2589
ENST00000398795,413,954
ENST00000359149,1187,3522
ENST00000335181,437,1596
ENST00000359151,260,702
ENST00000335185,1841,3240
ENST00000359152,1198,2808
ENST00000359154,1299,2613
ENST00000335183,211,639
ENST00000531981,100,483
ENST00000360134,9,2220
ENST00000360131,567,2661
ENST00000360132,491,822
ENST00000555914,521,879
ENST00000360135,418,4221
ENST00000590294,1527,1707
ENST00000360128,310,903
ENST00000398780,54,324
ENST00000398786,430,402
ENST00000359135,2495,915
ENST00000335186,37,198
ENST00000398788,662,3345
ENST00000359139,1012,2784
ENST00000335195,329,1374
ENST00000359140,729,2211
ENST00000359142,940,3531
ENST00000360121,359,1203
ENST00000531974,92,423
ENST00000531979,228,1185
ENST00000555925,715,1926
ENST00000360127,380,1272
ENST00000555927,160,714
ENST00000531978,60,327
ENST00000531928,151,465
ENST00000374763,524,2247
ENST00000374761,536,2085
ENST00000398733,400,444
ENST00000374762,203,744
ENST00000374767,174,744
ENST00000374768,285,540
ENST00000374765,821,1992
ENST00000360190,1669,5445
ENST00000506970,307,573
ENST00000360194,373,1053
ENST00000457500,375,1362
ENST00000531916,254,462
ENST00000398721,59,186
ENST00000374773,3391,3006
ENST00000374778,7172,915
ENST00000374779,410,957
ENST00000374776,3391,2967
ENST00000398729,187,501
ENST00000360184,2471,13941
ENST00000457514,81,297
ENST00000457511,6450,5643
ENST00000555900,289,1317
ENST00000457512,545,2610
ENST00000360187,187,1926
ENST00000291592,226,774
ENST00000374781,294,1044
ENST00000374782,782,3135
ENST00000359188,831,1443
ENST00000398752,348,1662
ENST00000374786,6497,1035
ENST00000398753,156,423
ENST00000398754,285,1056
ENST00000374784,6016,951
ENST00000398755,322,1623
ENST00000374789,4747,4071
ENST00000374787,723,3594
ENST00000374788,4747,4062
ENST00000359191,805,3252
ENST00000359193,183,393
ENST00000359195,1364,3309
ENST00000360171,392,1188
ENST00000457527,304,1470
ENST00000359197,1428,1434
ENST00000291598,441,1710
ENST00000433593,638,675
ENST00000531945,384,996
ENST00000433590,367,447
ENST00000291582,518,1638
ENST00000374793,743,3594
ENST00000374790,4747,3891
ENST00000374791,12828,1035
ENST00000374796,1493,6192
ENST00000398741,454,1530
ENST00000398742,545,1929
ENST00000374794,4747,3735
ENST00000398743,455,1530
ENST00000506996,1056,480
ENST00000374798,825,1047
ENST00000360162,925,2025
ENST00000360160,129,1983
ENST00000359187,354,1812
ENST00000360167,365,1386
ENST00000360165,218,1308
ENST00000360168,516,2187
ENST00000541134,1830,8154
ENST00000301459,277,1572
ENST00000301457,100,342
ENST00000580732,1536,5772
ENST00000301458,195,849
ENST00000301455,257,1221
ENST00000301454,367,1407
ENST00000325425,423,2115
ENST00000301452,328,795
ENST00000325421,224,1689
ENST00000579733,226,297
ENST00000579732,1417,684
ENST00000580729,83,1020
ENST00000531792,649,1338
ENST00000565108,206,168
ENST00000325418,314,2397
ENST00000531794,382,969
ENST00000301466,471,1569
ENST00000325411,460,1809
ENST00000301464,130,723
ENST00000301463,253,1329
ENST00000565100,268,1167
ENST00000301480,939,2373
ENST00000541110,2039,3663
ENST00000541113,503,1158
ENST00000276393,1027,1401
ENST00000541118,460,849
ENST00000541119,1270,3405
ENST00000555750,295,930
ENST00000555755,685,2193
ENST00000046087,1861,1056
ENST00000301475,292,1209
ENST00000301490,93,423
ENST00000541122,1922,4854
ENST00000541124,181,696
ENST00000555760,166,222
ENST00000555761,432,1716
ENST00000325437,310,477
ENST00000325438,838,2670
ENST00000555764,312,504
ENST00000555765,133,450
ENST00000301488,55,381
ENST00000638607,238,1863
ENST00000349441,1101,3396
ENST00000276373,668,1578
ENST00000350435,313,426
ENST00000638606,5465,3705
ENST00000614631,52,600
ENST00000638603,382,1317
ENST00000614640,1435,558
ENST00000350437,973,2571
ENST00000555731,204,357
ENST00000325468,399,2166
ENST00000349431,306,780
ENST00000349438,455,1065
ENST00000555738,642,1485
ENST00000325464,770,2634
ENST00000349451,408,1113
ENST00000541102,200,879
ENST00000614646,1091,2763
ENST00000541107,822,855
ENST00000614641,701,2112
ENST00000614643,222,978
ENST00000276390,389,1536
ENST00000350427,202,1266
ENST00000325455,1511,2802
ENST00000531754,59,246
ENST00000555748,233,342
ENST00000614616,1090,5133
ENST00000590129,424,2529
ENST00000531783,745,2139
ENST00000555711,76,117
ENST00000531787,1112,1704
ENST00000325486,475,1425
ENST00000614627,264,1092
ENST00000614628,879,2472
ENST00000614624,211,558
ENST00000531774,437,1074
ENST00000555728,828,3546
ENST00000565184,436,1596
ENST00000291971,1446,3147
ENST00000638645,251,957
ENST00000638646,1784,3483
ENST00000614675,213,363
ENST00000614677,241,1278
ENST00000614681,259,717
ENST00000457268,539,843
ENST00000457269,265,1515
ENST00000423932,381,930
ENST00000600022,286,465
ENST00000589145,349,378
ENST00000589146,213,285
ENST00000482240,52,297
ENST00000457280,197,774
ENST00000276344,452,954
ENST00000638634,268,495
ENST00000614686,602,735
ENST00000638636,112,2304
ENST00000614691,113,831
ENST00000472899,898,156
ENST00000457277,511,1389
ENST00000457295,281,807
ENST00000589130,738,2454
ENST00000638629,481,861
ENST00000266991,177,1191
ENST00000614657,5562,1806
ENST00000638621,427,531
ENST00000614659,411,1617
ENST00000614654,296,2763
ENST00000638626,1266,3780
ENST00000482218,604,195
ENST00000565159,496,2238
ENST00000496856,235,1458
ENST00000496850,413,1065
ENST00000600044,517,2064
ENST00000565154,423,1596
ENST00000589123,878,1500
ENST00000276326,411,876
ENST00000600042,325,1563
ENST00000614668,511,444
ENST00000638611,399,651
ENST00000579795,566,1947
ENST00000638616,319,1500
ENST00000638617,695,2055
ENST00000579793,1423,693
ENST00000638614,6,84
ENST00000579794,269,531
ENST00000301408,101,498
ENST00000301407,118,468
ENST00000589119,760,2634
ENST00000589115,110,543
ENST00000589117,415,1887
ENST00000423902,2383,8994
ENST00000565165,596,1197
ENST00000252329,66,369
ENST00000541174,456,1686
ENST00000266970,168,897
ENST00000541179,1216,2346
ENST00000266971,275,1638
ENST00000579788,280,828
ENST00000638696,506,1203
ENST00000580774,2328,225
ENST00000638697,267,594
ENST00000589109,3705,462
ENST00000252321,704,1842
ENST00000252322,775,1188
ENST00000565134,186,756
ENST00000291934,145,534
ENST00000541182,252,546
ENST00000541183,617,480
ENST00000252318,897,1914
ENST00000541184,1331,987
ENST00000266980,342,1623
ENST00000242994,579,996
ENST00000266984,462,1494
ENST00000227378,486,1941
ENST00000266987,229,1101
ENST00000579774,306,1077
ENST00000638685,609,909
ENST00000638686,669,2298
ENST00000600059,709,4383
ENST00000301420,202,789
ENST00000541150,424,1476
ENST00000541152,623,1008
ENST00000600094,498,2433
ENST00000541158,1740,2295
ENST00000541159,802,1338
ENST00000638666,1074,1281
ENST00000614696,222,675
ENST00000614697,308,1350
ENST00000579760,418,846
ENST00000579761,105,552
ENST00000638674,420,699
ENST00000325404,200,954
ENST00000580752,100,114
ENST00000580753,188,1083
ENST00000496897,1259,2397
ENST00000541166,316,1320
ENST00000579755,1186,399
ENST00000580749,461,1791
ENST00000638660,1923,1143
ENST00000291906,519,2670
ENST00000638661,478,1263
ENST00000565123,147,492
ENST00000252336,931,3072
ENST00000291900,566,2301
ENST00000600079,664,1773
ENST00000291901,363,789
ENST00000541170,773,1170
ENST00000252338,439,1419
ENST00000398491,340,966
ENST00000398492,226,627
ENST00000398493,446,1650
ENST00000506806,116,531
ENST00000398494,201,675
ENST00000447869,909,1545
ENST00000398495,455,1701
ENST00000398499,528,3201
ENST00000447866,291,1062
ENST00000227322,229,1380
ENST00000506801,262,423
ENST00000506802,2635,945
ENST00000423893,251,654
ENST00000423894,465,231
